run_name,stage,dataset,model_name,config_version,bn_policy_version,data_proto_version,train_proto_version,eval_proto_version,eval_cast_policy,boundary_metric_width,boundary_metric_impl,connected_components_impl,connected_components_connectivity,seed,split_role,metric_name,metric_value,best_selector,threshold_source,threshold_value,checkpoint_path,result_tag,aggregation,note
A2_UNet_GlaS_seed1234,A2,GlaS,unet,baseline_stability_v3_encoder_bn_policy,bn_policy_v3_noop_identity,01_data_protocol_v1,train_proto_v3_encoder_bn_policy,eval_proto_v1,float32_before_threshold,3,binary_erosion_xor_plus_binary_dilation,scipy.ndimage.label,8,1234,testB,F1,0.5797952972952972,val_objdice_max,val17,0.5,experiments/A2_UNet_GlaS_seed1234/checkpoints/best.ckpt,reproduced,single_seed,
A2_UNet_GlaS_seed1234,A2,GlaS,unet,baseline_stability_v3_encoder_bn_policy,bn_policy_v3_noop_identity,01_data_protocol_v1,train_proto_v3_encoder_bn_policy,eval_proto_v1,float32_before_threshold,3,binary_erosion_xor_plus_binary_dilation,scipy.ndimage.label,8,1234,testB,Object Dice,0.7834292082456267,val_objdice_max,val17,0.5,experiments/A2_UNet_GlaS_seed1234/checkpoints/best.ckpt,reproduced,single_seed,
A2_UNet_GlaS_seed1234,A2,GlaS,unet,baseline_stability_v3_encoder_bn_policy,bn_policy_v3_noop_identity,01_data_protocol_v1,train_proto_v3_encoder_bn_policy,eval_proto_v1,float32_before_threshold,3,binary_erosion_xor_plus_binary_dilation,scipy.ndimage.label,8,1234,testB,Object Hausdorff,114.13118695265561,val_objdice_max,val17,0.5,experiments/A2_UNet_GlaS_seed1234/checkpoints/best.ckpt,reproduced,single_seed,
A2_UNet_GlaS_seed1234,A2,GlaS,unet,baseline_stability_v3_encoder_bn_policy,bn_policy_v3_noop_identity,01_data_protocol_v1,train_proto_v3_encoder_bn_policy,eval_proto_v1,float32_before_threshold,3,binary_erosion_xor_plus_binary_dilation,scipy.ndimage.label,8,1234,testB,Dice,0.8825576921146083,val_objdice_max,val17,0.5,experiments/A2_UNet_GlaS_seed1234/checkpoints/best.ckpt,reproduced,single_seed,
A2_UNet_GlaS_seed1234,A2,GlaS,unet,baseline_stability_v3_encoder_bn_policy,bn_policy_v3_noop_identity,01_data_protocol_v1,train_proto_v3_encoder_bn_policy,eval_proto_v1,float32_before_threshold,3,binary_erosion_xor_plus_binary_dilation,scipy.ndimage.label,8,1234,testB,IoU,0.8009187301561649,val_objdice_max,val17,0.5,experiments/A2_UNet_GlaS_seed1234/checkpoints/best.ckpt,reproduced,single_seed,
A2_UNet_GlaS_seed1234,A2,GlaS,unet,baseline_stability_v3_encoder_bn_policy,bn_policy_v3_noop_identity,01_data_protocol_v1,train_proto_v3_encoder_bn_policy,eval_proto_v1,float32_before_threshold,3,binary_erosion_xor_plus_binary_dilation,scipy.ndimage.label,8,1234,testB,HD95,37.45549237251281,val_objdice_max,val17,0.5,experiments/A2_UNet_GlaS_seed1234/checkpoints/best.ckpt,reproduced,single_seed,
A2_UNet_GlaS_seed1234,A2,GlaS,unet,baseline_stability_v3_encoder_bn_policy,bn_policy_v3_noop_identity,01_data_protocol_v1,train_proto_v3_encoder_bn_policy,eval_proto_v1,float32_before_threshold,3,binary_erosion_xor_plus_binary_dilation,scipy.ndimage.label,8,1234,testB,Boundary F1,0.6508771669464082,val_objdice_max,val17,0.5,experiments/A2_UNet_GlaS_seed1234/checkpoints/best.ckpt,reproduced,single_seed,
A2_UNet_GlaS_seed2025,A2,GlaS,unet,baseline_stability_v3_encoder_bn_policy,bn_policy_v3_noop_identity,01_data_protocol_v1,train_proto_v3_encoder_bn_policy,eval_proto_v1,float32_before_threshold,3,binary_erosion_xor_plus_binary_dilation,scipy.ndimage.label,8,2025,testA,F1,0.6018858948287883,val_objdice_max,val17,0.5,experiments/A2_UNet_GlaS_seed2025/checkpoints/best.ckpt,reproduced,single_seed,
A2_UNet_GlaS_seed2025,A2,GlaS,unet,baseline_stability_v3_encoder_bn_policy,bn_policy_v3_noop_identity,01_data_protocol_v1,train_proto_v3_encoder_bn_policy,eval_proto_v1,float32_before_threshold,3,binary_erosion_xor_plus_binary_dilation,scipy.ndimage.label,8,2025,testA,Object Dice,0.7412086884286385,val_objdice_max,val17,0.5,experiments/A2_UNet_GlaS_seed2025/checkpoints/best.ckpt,reproduced,single_seed,
A2_UNet_GlaS_seed2025,A2,GlaS,unet,baseline_stability_v3_encoder_bn_policy,bn_policy_v3_noop_identity,01_data_protocol_v1,train_proto_v3_encoder_bn_policy,eval_proto_v1,float32_before_threshold,3,binary_erosion_xor_plus_binary_dilation,scipy.ndimage.label,8,2025,testA,Object Hausdorff,122.11772093112126,val_objdice_max,val17,0.5,experiments/A2_UNet_GlaS_seed2025/checkpoints/best.ckpt,reproduced,single_seed,
A2_UNet_GlaS_seed2025,A2,GlaS,unet,baseline_stability_v3_encoder_bn_policy,bn_policy_v3_noop_identity,01_data_protocol_v1,train_proto_v3_encoder_bn_policy,eval_proto_v1,float32_before_threshold,3,binary_erosion_xor_plus_binary_dilation,scipy.ndimage.label,8,2025,testA,Dice,0.8858438709540297,val_objdice_max,val17,0.5,experiments/A2_UNet_GlaS_seed2025/checkpoints/best.ckpt,reproduced,single_seed,
A2_UNet_GlaS_seed2025,A2,GlaS,unet,baseline_stability_v3_encoder_bn_policy,bn_policy_v3_noop_identity,01_data_protocol_v1,train_proto_v3_encoder_bn_policy,eval_proto_v1,float32_before_threshold,3,binary_erosion_xor_plus_binary_dilation,scipy.ndimage.label,8,2025,testA,IoU,0.8045950743629827,val_objdice_max,val17,0.5,experiments/A2_UNet_GlaS_seed2025/checkpoints/best.ckpt,reproduced,single_seed,
A2_UNet_GlaS_seed2025,A2,GlaS,unet,baseline_stability_v3_encoder_bn_policy,bn_policy_v3_noop_identity,01_data_protocol_v1,train_proto_v3_encoder_bn_policy,eval_proto_v1,float32_before_threshold,3,binary_erosion_xor_plus_binary_dilation,scipy.ndimage.label,8,2025,testA,HD95,53.4801714468002,val_objdice_max,val17,0.5,experiments/A2_UNet_GlaS_seed2025/checkpoints/best.ckpt,reproduced,single_seed,
A2_UNet_GlaS_seed2025,A2,GlaS,unet,baseline_stability_v3_encoder_bn_policy,bn_policy_v3_noop_identity,01_data_protocol_v1,train_proto_v3_encoder_bn_policy,eval_proto_v1,float32_before_threshold,3,binary_erosion_xor_plus_binary_dilation,scipy.ndimage.label,8,2025,testA,Boundary F1,0.6634105773445202,val_objdice_max,val17,0.5,experiments/A2_UNet_GlaS_seed2025/checkpoints/best.ckpt,reproduced,single_seed,
A2_UNet_GlaS_seed2025,A2,GlaS,unet,baseline_stability_v3_encoder_bn_policy,bn_policy_v3_noop_identity,01_data_protocol_v1,train_proto_v3_encoder_bn_policy,eval_proto_v1,float32_before_threshold,3,binary_erosion_xor_plus_binary_dilation,scipy.ndimage.label,8,2025,testB,F1,0.6323106314050586,val_objdice_max,val17,0.5,experiments/A2_UNet_GlaS_seed2025/checkpoints/best.ckpt,reproduced,single_seed,
A2_UNet_GlaS_seed2025,A2,GlaS,unet,baseline_stability_v3_encoder_bn_policy,bn_policy_v3_noop_identity,01_data_protocol_v1,train_proto_v3_encoder_bn_policy,eval_proto_v1,float32_before_threshold,3,binary_erosion_xor_plus_binary_dilation,scipy.ndimage.label,8,2025,testB,Object Dice,0.7811314549323154,val_objdice_max,val17,0.5,experiments/A2_UNet_GlaS_seed2025/checkpoints/best.ckpt,reproduced,single_seed,
A2_UNet_GlaS_seed2025,A2,GlaS,unet,baseline_stability_v3_encoder_bn_policy,bn_policy_v3_noop_identity,01_data_protocol_v1,train_proto_v3_encoder_bn_policy,eval_proto_v1,float32_before_threshold,3,binary_erosion_xor_plus_binary_dilation,scipy.ndimage.label,8,2025,testB,Object Hausdorff,120.89808352087366,val_objdice_max,val17,0.5,experiments/A2_UNet_GlaS_seed2025/checkpoints/best.ckpt,reproduced,single_seed,
A2_UNet_GlaS_seed2025,A2,GlaS,unet,baseline_stability_v3_encoder_bn_policy,bn_policy_v3_noop_identity,01_data_protocol_v1,train_proto_v3_encoder_bn_policy,eval_proto_v1,float32_before_threshold,3,binary_erosion_xor_plus_binary_dilation,scipy.ndimage.label,8,2025,testB,Dice,0.8820115288669923,val_objdice_max,val17,0.5,experiments/A2_UNet_GlaS_seed2025/checkpoints/best.ckpt,reproduced,single_seed,
A2_UNet_GlaS_seed2025,A2,GlaS,unet,baseline_stability_v3_encoder_bn_policy,bn_policy_v3_noop_identity,01_data_protocol_v1,train_proto_v3_encoder_bn_policy,eval_proto_v1,float32_before_threshold,3,binary_erosion_xor_plus_binary_dilation,scipy.ndimage.label,8,2025,testB,IoU,0.798103729843407,val_objdice_max,val17,0.5,experiments/A2_UNet_GlaS_seed2025/checkpoints/best.ckpt,reproduced,single_seed,
A2_UNet_GlaS_seed2025,A2,GlaS,unet,baseline_stability_v3_encoder_bn_policy,bn_policy_v3_noop_identity,01_data_protocol_v1,train_proto_v3_encoder_bn_policy,eval_proto_v1,float32_before_threshold,3,binary_erosion_xor_plus_binary_dilation,scipy.ndimage.label,8,2025,testB,HD95,41.32631842613219,val_objdice_max,val17,0.5,experiments/A2_UNet_GlaS_seed2025/checkpoints/best.ckpt,reproduced,single_seed,
A2_UNet_GlaS_seed2025,A2,GlaS,unet,baseline_stability_v3_encoder_bn_policy,bn_policy_v3_noop_identity,01_data_protocol_v1,train_proto_v3_encoder_bn_policy,eval_proto_v1,float32_before_threshold,3,binary_erosion_xor_plus_binary_dilation,scipy.ndimage.label,8,2025,testB,Boundary F1,0.6337236595674878,val_objdice_max,val17,0.5,experiments/A2_UNet_GlaS_seed2025/checkpoints/best.ckpt,reproduced,single_seed,
