run_name,stage,dataset,model_name,config_version,data_proto_version,train_proto_version,eval_proto_version,eval_cast_policy,boundary_metric_width,boundary_metric_impl,connected_components_impl,connected_components_connectivity,seed,split_role,metric_name,metric_value,best_selector,threshold_source,threshold_value,checkpoint_path,result_tag,aggregation,note
A2_UNet_GlaS_seed1234,A2,GlaS,unet,v1,01_data_protocol_v1,train_proto_v1,eval_proto_v1,float32_before_threshold,3,binary_erosion_xor_plus_binary_dilation,scipy.ndimage.label,8,1234,testB,HD95,62.45646593093869,val_objdice_max,val17,0.5,experiments/A2_UNet_GlaS_seed1234/checkpoints/best.ckpt,reproduced,single_seed,
A2_UNet_GlaS_seed1234,A2,GlaS,unet,v1,01_data_protocol_v1,train_proto_v1,eval_proto_v1,float32_before_threshold,3,binary_erosion_xor_plus_binary_dilation,scipy.ndimage.label,8,1234,testB,Boundary F1,0.6170549437713433,val_objdice_max,val17,0.5,experiments/A2_UNet_GlaS_seed1234/checkpoints/best.ckpt,reproduced,single_seed,
A2_UNet_GlaS_seed2025,A2,GlaS,unet,v1,01_data_protocol_v1,train_proto_v1,eval_proto_v1,float32_before_threshold,3,binary_erosion_xor_plus_binary_dilation,scipy.ndimage.label,8,2025,testA,F1,0.4781767624489241,val_objdice_max,val17,0.5,experiments/A2_UNet_GlaS_seed2025/checkpoints/best.ckpt,reproduced,single_seed,
A2_UNet_GlaS_seed2025,A2,GlaS,unet,v1,01_data_protocol_v1,train_proto_v1,eval_proto_v1,float32_before_threshold,3,binary_erosion_xor_plus_binary_dilation,scipy.ndimage.label,8,2025,testA,Object Dice,0.6397034716730282,val_objdice_max,val17,0.5,experiments/A2_UNet_GlaS_seed2025/checkpoints/best.ckpt,reproduced,single_seed,
A2_UNet_GlaS_seed2025,A2,GlaS,unet,v1,01_data_protocol_v1,train_proto_v1,eval_proto_v1,float32_before_threshold,3,binary_erosion_xor_plus_binary_dilation,scipy.ndimage.label,8,2025,testA,Object Hausdorff,168.8433597093352,val_objdice_max,val17,0.5,experiments/A2_UNet_GlaS_seed2025/checkpoints/best.ckpt,reproduced,single_seed,
A2_UNet_GlaS_seed2025,A2,GlaS,unet,v1,01_data_protocol_v1,train_proto_v1,eval_proto_v1,float32_before_threshold,3,binary_erosion_xor_plus_binary_dilation,scipy.ndimage.label,8,2025,testA,Dice,0.8618221737943423,val_objdice_max,val17,0.5,experiments/A2_UNet_GlaS_seed2025/checkpoints/best.ckpt,reproduced,single_seed,
A2_UNet_GlaS_seed2025,A2,GlaS,unet,v1,01_data_protocol_v1,train_proto_v1,eval_proto_v1,float32_before_threshold,3,binary_erosion_xor_plus_binary_dilation,scipy.ndimage.label,8,2025,testA,IoU,0.7683815859860194,val_objdice_max,val17,0.5,experiments/A2_UNet_GlaS_seed2025/checkpoints/best.ckpt,reproduced,single_seed,
A2_UNet_GlaS_seed2025,A2,GlaS,unet,v1,01_data_protocol_v1,train_proto_v1,eval_proto_v1,float32_before_threshold,3,binary_erosion_xor_plus_binary_dilation,scipy.ndimage.label,8,2025,testA,HD95,62.32936197837192,val_objdice_max,val17,0.5,experiments/A2_UNet_GlaS_seed2025/checkpoints/best.ckpt,reproduced,single_seed,
A2_UNet_GlaS_seed2025,A2,GlaS,unet,v1,01_data_protocol_v1,train_proto_v1,eval_proto_v1,float32_before_threshold,3,binary_erosion_xor_plus_binary_dilation,scipy.ndimage.label,8,2025,testA,Boundary F1,0.5958136739492385,val_objdice_max,val17,0.5,experiments/A2_UNet_GlaS_seed2025/checkpoints/best.ckpt,reproduced,single_seed,
A2_UNet_GlaS_seed2025,A2,GlaS,unet,v1,01_data_protocol_v1,train_proto_v1,eval_proto_v1,float32_before_threshold,3,binary_erosion_xor_plus_binary_dilation,scipy.ndimage.label,8,2025,testB,F1,0.5720981061422237,val_objdice_max,val17,0.5,experiments/A2_UNet_GlaS_seed2025/checkpoints/best.ckpt,reproduced,single_seed,
A2_UNet_GlaS_seed2025,A2,GlaS,unet,v1,01_data_protocol_v1,train_proto_v1,eval_proto_v1,float32_before_threshold,3,binary_erosion_xor_plus_binary_dilation,scipy.ndimage.label,8,2025,testB,Object Dice,0.7591453514828673,val_objdice_max,val17,0.5,experiments/A2_UNet_GlaS_seed2025/checkpoints/best.ckpt,reproduced,single_seed,
A2_UNet_GlaS_seed2025,A2,GlaS,unet,v1,01_data_protocol_v1,train_proto_v1,eval_proto_v1,float32_before_threshold,3,binary_erosion_xor_plus_binary_dilation,scipy.ndimage.label,8,2025,testB,Object Hausdorff,140.2169616491457,val_objdice_max,val17,0.5,experiments/A2_UNet_GlaS_seed2025/checkpoints/best.ckpt,reproduced,single_seed,
A2_UNet_GlaS_seed2025,A2,GlaS,unet,v1,01_data_protocol_v1,train_proto_v1,eval_proto_v1,float32_before_threshold,3,binary_erosion_xor_plus_binary_dilation,scipy.ndimage.label,8,2025,testB,Dice,0.8839007355041014,val_objdice_max,val17,0.5,experiments/A2_UNet_GlaS_seed2025/checkpoints/best.ckpt,reproduced,single_seed,
A2_UNet_GlaS_seed2025,A2,GlaS,unet,v1,01_data_protocol_v1,train_proto_v1,eval_proto_v1,float32_before_threshold,3,binary_erosion_xor_plus_binary_dilation,scipy.ndimage.label,8,2025,testB,IoU,0.7984811856112735,val_objdice_max,val17,0.5,experiments/A2_UNet_GlaS_seed2025/checkpoints/best.ckpt,reproduced,single_seed,
A2_UNet_GlaS_seed2025,A2,GlaS,unet,v1,01_data_protocol_v1,train_proto_v1,eval_proto_v1,float32_before_threshold,3,binary_erosion_xor_plus_binary_dilation,scipy.ndimage.label,8,2025,testB,HD95,40.42918624877929,val_objdice_max,val17,0.5,experiments/A2_UNet_GlaS_seed2025/checkpoints/best.ckpt,reproduced,single_seed,
A2_UNet_GlaS_seed2025,A2,GlaS,unet,v1,01_data_protocol_v1,train_proto_v1,eval_proto_v1,float32_before_threshold,3,binary_erosion_xor_plus_binary_dilation,scipy.ndimage.label,8,2025,testB,Boundary F1,0.617481877223945,val_objdice_max,val17,0.5,experiments/A2_UNet_GlaS_seed2025/checkpoints/best.ckpt,reproduced,single_seed,
