epoch,epoch_train_loss,epoch_loss_bce,epoch_loss_dice,epoch_loss_boundary,epoch_loss_distance,lr,batch_size,amp,epoch_time_sec
20,0.4175677281968734,0.26998309133683934,0.1458103244795519,0.0,0.017743117956663754,0.001,2,true,6.537
21,0.4103122739230885,0.2690960247727001,0.13943839160835042,0.0,0.017778521704980555,0.001,2,true,6.9262
22,0.4246157258749008,0.2777667159543318,0.14503474621211782,0.0,0.01814266058671124,0.001,2,true,7.1951
23,0.4022383606609176,0.2603110535179867,0.1402176171541214,0.0,0.017096903202507424,0.001,2,true,7.1075
24,0.3878568949944833,0.25540303285507593,0.1307874593664618,0.0,0.01666397102834547,0.001,2,true,6.4925
25,0.39240779464735703,0.25592494799810295,0.13475952165968277,0.0,0.017233251333784533,0.001,2,true,6.7785
26,0.4123857130899149,0.26991197685985,0.14066211440983942,0.0,0.018116215942427516,0.001,2,true,6.7783
27,0.3700794450500432,0.23746597986010945,0.13090890733634725,0.0,0.017045567277818918,0.001,2,true,6.6252
28,0.3475695519762881,0.22681374847888947,0.11912604728165795,0.0,0.016297521206605083,0.001,2,true,6.4986
29,0.3887501753428403,0.25561819751473036,0.13135410319356358,0.0,0.017778747961582506,0.001,2,true,6.4128
30,0.3749252307940932,0.2463564224102918,0.1267334503286025,0.0,0.018353556912830648,0.001,2,true,6.8303
31,0.3193100410349229,0.20663036647088387,0.11102775440496557,0.0,0.016519217313650775,0.0005,2,true,6.562
32,0.34999793855582967,0.2256621032514993,0.12263002816368551,0.0,0.01705804735641269,0.0005,2,true,6.787
33,0.3301253235515426,0.2176265777910457,0.11082870907643262,0.0,0.016700351186206237,0.0005,2,true,6.583
34,0.2961429024443907,0.1918087450458723,0.10268324525917277,0.0,0.016509110738030252,0.0005,2,true,6.7111
35,0.28038034675752416,0.18253429255941334,0.0962500274181366,0.0,0.015960262923994484,0.0005,2,true,6.567
36,0.2728075161576271,0.1781856354106875,0.0929369882625692,0.0,0.016848928432035094,0.0005,2,true,6.6755
37,0.29648679451030846,0.19310343659975948,0.10169638342717115,0.0,0.016869755078326252,0.0005,2,true,6.5487
38,0.27998146765372334,0.1827764692990219,0.09562324338099536,0.0,0.015817550668383345,0.0005,2,true,6.3665
39,0.2795717773192069,0.18148766436121044,0.09644560866496142,0.0,0.016385043026222026,0.0005,2,true,6.8607
40,0.24176309827496023,0.15305084077750936,0.08707292991525986,0.0,0.016393286806038198,0.00025,2,true,6.6602
41,0.25952747770968604,0.17024295010110913,0.08769072504604564,0.0,0.015938021585016567,0.00025,2,true,6.5257
42,0.2578829785480219,0.17045913549030528,0.0858453433303272,0.0,0.01578498218098984,0.00025,2,true,6.613
43,0.2638355313855059,0.1671976271797629,0.0949635014814489,0.0,0.016744027735994142,0.00025,2,true,6.5132
44,0.26450123506433826,0.17176250718972264,0.0911064682637944,0.0,0.01632260807844646,0.00025,2,true,6.8041
45,0.25526420815902595,0.16681958143325412,0.08685865297037013,0.0,0.015859733815031016,0.00025,2,true,6.7594
46,0.2677018247983035,0.17399297282099724,0.0920563313890906,0.0,0.016525229124133203,0.00025,2,true,6.5949
47,0.25360943201710195,0.1640351414680481,0.08797649513272678,0.0,0.01597798473256476,0.00025,2,true,7.188
48,0.27448561787605286,0.17746374011039734,0.09541619437582352,0.0,0.016056812464204782,0.00025,2,true,6.5559
49,0.2923559721778421,0.19323035680195866,0.09752658009529114,0.0,0.01599037485635456,0.00025,2,true,6.6024
50,0.25903110775877447,0.17061346111928716,0.08677964789025924,0.0,0.016380001242984745,0.00025,2,true,7.0417
51,0.2744625013540773,0.17576170581228592,0.09708498243023367,0.0,0.01615814523607054,0.00025,2,true,6.8614
52,0.24550307585912592,0.15891874997931368,0.08497065305709839,0.0,0.016136736937743777,0.00025,2,true,6.4954
53,0.24746957991053076,0.15959236420252743,0.08623528655837565,0.0,0.016419285018106595,0.00025,2,true,6.6621
54,0.24476704001426697,0.15649990080034032,0.0867314619176528,0.0,0.015356768908746102,0.00025,2,true,6.488
55,0.2595952017342343,0.17035103698863702,0.08763827120556551,0.0,0.016058946206398746,0.00025,2,true,6.7205
56,0.25458653008236604,0.16375876239993992,0.08911875503904679,0.0,0.017090148182914537,0.00025,2,true,6.6594
